,capacity_policy,minfood_access_policy,ration_size_policy,day_access_policy,rerouting_policy,alpha,beta,gamma,epsilon,parallel_served_full,avg_interactions
106,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
107,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
108,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
109,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
110,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
111,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,7.8,20.0
112,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,7.8,20.0
113,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,7.8,20.0
114,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
115,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
116,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
117,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,7.8,20.0
118,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,7.8,20.0
119,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,7.8,20.0
120,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,6.0,20.0
121,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,6.0,20.0
122,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,6.0,20.0
123,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
124,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
125,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
126,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,20.0
127,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,20.0
128,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,20.0
129,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
130,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
131,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
132,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
133,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
134,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
135,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,7.8,20.0
136,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,7.8,20.0
137,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,7.8,20.0
138,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
139,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
140,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
141,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,7.8,20.0
142,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,7.8,20.0
143,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,7.8,20.0
144,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,6.0,20.0
145,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,6.0,20.0
146,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,6.0,20.0
147,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
148,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
149,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
150,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,20.0
151,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,20.0
152,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,20.0
153,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
154,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
155,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
156,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
157,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
158,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
159,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,7.8,20.0
160,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,7.8,20.0
161,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,7.8,20.0
162,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
163,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
164,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
165,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,7.8,20.0
166,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,7.8,20.0
167,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,7.8,20.0
168,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,6.0,20.0
169,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,6.0,20.0
170,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,6.0,20.0
171,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
172,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
173,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
174,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,20.0
175,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,20.0
176,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,20.0
177,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
178,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
179,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
180,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
181,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
182,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
183,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,7.8,20.0
184,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,7.8,20.0
